last_name,language,client_id,currency_code,url,folder,credits.credit,organization,links.view,links.statement,links.client_view,auth_url,credit,first_name,updated,email,notifications.late_payment_reminders,username,home_phone,mobile,p_country,contacts.contact.phone2,contacts.contact.last_name,contacts.contact.contact_id,contacts.contact.first_name,contacts.contact.email,contacts.contact.phone1,contacts.contact.username,notes,vat_name,work_phone,s_city,p_city,p_code,p_street2,s_state,fax,s_code,s_street1,s_street2,p_street1,s_country
tmp,en,800001,USD,https://cloudelements.freshbooks.com/view/W9hh5pVKsemYNQW,active,0,churros tmp,https://cloudelements.freshbooks.com/clients/800001,https://cloudelements.freshbooks.com/view/afxuvL45GSzEjUA,https://cloudelements.freshbooks.com/view/W9hh5pVKsemYNQW,https://cloudelements.freshbooks.com/clients/800001,0,churros,2020-06-06 23:16:49,random@churros.com,1,churrostmp1280,,,,,,,,,,,,,,,,,,,,,,,,
tmp,en,799999,USD,https://cloudelements.freshbooks.com/view/8VsZMB7HJrhJHSw,active,0,churros tmp,https://cloudelements.freshbooks.com/clients/799999,https://cloudelements.freshbooks.com/view/uGf8tFCvREajJRF,https://cloudelements.freshbooks.com/view/8VsZMB7HJrhJHSw,https://cloudelements.freshbooks.com/clients/799999,0,churros,2020-06-06 23:16:43,random@churros.com,1,churrostmp1279,,,,,,,,,,,,,,,,,,,,,,,,
tmp,en,799757,USD,https://cloudelements.freshbooks.com/view/33QSVuRPZkT23Qhd,active,0,churros tmp,https://cloudelements.freshbooks.com/clients/799757,https://cloudelements.freshbooks.com/view/W3EPae4b5Nh4fZn,https://cloudelements.freshbooks.com/view/33QSVuRPZkT23Qhd,https://cloudelements.freshbooks.com/clients/799757,0,churros,2020-06-05 23:17:35,random@churros.com,1,churrostmp1272,,,,,,,,,,,,,,,,,,,,,,,,
Elements,en,799421,USD,https://cloudelements.freshbooks.com/view/3fMTHfY49hwfSjaq,active,0,Cloud ELements,https://cloudelements.freshbooks.com/clients/799421,https://cloudelements.freshbooks.com/view/qmAsW2Yzsa3475U,https://cloudelements.freshbooks.com/view/3fMTHfY49hwfSjaq,https://cloudelements.freshbooks.com/clients/799421,0,Claude,2020-06-05 06:25:54,claude@cloud-elements.com,1,claudeelements2919,,,,,,,,,,,,,,,,,,,,,,,,
Elements,en,799413,USD,https://cloudelements.freshbooks.com/view/x5sYNBdsLYsXMCJ,active,0,Cloud ELements,https://cloudelements.freshbooks.com/clients/799413,https://cloudelements.freshbooks.com/view/3H7NbDsQnFuqrQM8,https://cloudelements.freshbooks.com/view/x5sYNBdsLYsXMCJ,https://cloudelements.freshbooks.com/clients/799413,0,Claude,2020-06-05 05:10:59,claude@cloud-elements.com,1,claudeelements2918,,,,,,,,,,,,,,,,,,,,,,,,
tmp,en,796749,USD,https://cloudelements.freshbooks.com/view/3DmQWbSSBdRxiuSW,active,0,churros tmp,https://cloudelements.freshbooks.com/clients/796749,https://cloudelements.freshbooks.com/view/3ze9pg7QXEzRfDnT,https://cloudelements.freshbooks.com/view/3DmQWbSSBdRxiuSW,https://cloudelements.freshbooks.com/clients/796749,0,churros,2020-05-29 03:00:17,random@churros.com,1,churrostmp1199,,,,,,,,,,,,,,,,,,,,,,,,
tmp,en,796747,USD,https://cloudelements.freshbooks.com/view/ptFcqNrWGKrpBdp,active,0,churros tmp,https://cloudelements.freshbooks.com/clients/796747,https://cloudelements.freshbooks.com/view/34uhXYh4tcRxpSuh,https://cloudelements.freshbooks.com/view/ptFcqNrWGKrpBdp,https://cloudelements.freshbooks.com/clients/796747,0,churros,2020-05-29 03:00:13,random@churros.com,1,churrostmp1198,,,,,,,,,,,,,,,,,,,,,,,,
Elements,en,796739,USD,https://cloudelements.freshbooks.com/view/QzhdR2JUdxPcSkL,active,0,Cloud ELements,https://cloudelements.freshbooks.com/clients/796739,https://cloudelements.freshbooks.com/view/3QTUqY7JA4kXqhb2,https://cloudelements.freshbooks.com/view/QzhdR2JUdxPcSkL,https://cloudelements.freshbooks.com/clients/796739,0,Claude,2020-05-29 02:59:05,claude@cloud-elements.com,1,claudeelements2849,,,,,,,,,,,,,,,,,,,,,,,,
tmp,en,795811,USD,https://cloudelements.freshbooks.com/view/5qLGvxMXPGLD42V,active,0,churros tmp,https://cloudelements.freshbooks.com/clients/795811,https://cloudelements.freshbooks.com/view/xJg5rpcSbzDuL4p,https://cloudelements.freshbooks.com/view/5qLGvxMXPGLD42V,https://cloudelements.freshbooks.com/clients/795811,0,churros,2020-05-27 05:30:51,random@churros.com,1,churrostmp1177,,,,,,,,,,,,,,,,,,,,,,,,
Elements,en,785763,USD,https://cloudelements.freshbooks.com/view/iDXuMCvBSY87Fm8,active,0,Cloud ELements,https://cloudelements.freshbooks.com/clients/785763,https://cloudelements.freshbooks.com/view/3tCj2U6NU35JRBjn,https://cloudelements.freshbooks.com/view/iDXuMCvBSY87Fm8,https://cloudelements.freshbooks.com/clients/785763,0,Claude,2020-04-25 12:15:13,claude@cloud-elements.com,1,claudeelements2525,,,,,,,,,,,,,,,,,,,,,,,,
